                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.6092,                0.70267,                   1.04,                0.84038,                0.67938,                0.76372,                 0.3659,                 1.7516,                 0.7751,                 1.0227,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.6826,                0.72041,                  1.058,                0.78384,                0.69906,                0.74063,                0.34592,                 1.7783,                0.81037,                  1.033,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.7463,                0.73423,                 1.0764,                0.73771,                0.68254,                0.70013,                0.34322,                 1.6733,                0.84548,                 1.0082,               0.001241,               0.001241,               0.001241
                    117,                 1.6805,                0.72668,                 1.0604,                0.77592,                0.68651,                0.73259,                0.35854,                 1.6901,                0.80358,                 1.0113,              0.0012344,              0.0012344,              0.0012344
                    118,                  1.634,                0.72422,                 1.0564,                0.78386,                0.68118,                0.74227,                 0.3514,                  1.775,                0.80761,                 1.0323,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.6535,                  0.713,                  1.055,                0.76587,                0.66975,                0.71913,                0.28349,                 2.0828,                0.86283,                 1.1132,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.6131,                0.70846,                 1.0567,                0.83513,                0.66661,                0.75464,                 0.3342,                 1.8796,                0.79164,                 1.0566,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.6362,                0.72254,                 1.0554,                0.81291,                0.66302,                0.75478,                0.35007,                 1.7985,                0.78953,                 1.0428,               0.001208,               0.001208,               0.001208
                    122,                 1.6307,                0.70512,                  1.048,                0.76483,                0.69301,                0.74991,                0.36343,                 1.7265,                 0.7963,                 1.0242,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.6495,                0.71569,                 1.0511,                0.77137,                0.69066,                0.74695,                0.35134,                 1.7834,                0.79894,                 1.0339,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.6685,                0.72148,                 1.0647,                0.76278,                0.69016,                0.74818,                0.36046,                 1.7205,                0.81397,                 1.0141,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.6122,                0.71348,                 1.0568,                0.75875,                0.68142,                0.74181,                0.35597,                  1.733,                0.80733,                 1.0209,              0.0011816,              0.0011816,              0.0011816
                    126,                  1.626,                0.70548,                 1.0468,                0.76661,                0.69325,                0.75012,                0.34854,                 1.8149,                0.79232,                 1.0427,               0.001175,               0.001175,               0.001175
                    127,                 1.6607,                0.70357,                 1.0463,                0.76819,                0.68504,                0.73143,                 0.3504,                 1.7329,                0.87949,                  1.019,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.6664,                0.71883,                 1.0491,                0.76381,                0.68195,                0.72905,                0.33108,                 1.8269,                0.83013,                 1.0428,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.6991,                0.71008,                  1.065,                0.77236,                0.68447,                 0.7506,                0.36337,                 1.7178,                0.78106,                 1.0223,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.6678,                0.72779,                 1.0701,                0.79149,                0.65016,                0.71731,                0.30604,                 1.9753,                0.83136,                 1.0885,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.6639,                0.71542,                 1.0841,                0.82947,                0.66295,                0.73444,                 0.3241,                 1.9014,                0.82456,                 1.0647,               0.001142,               0.001142,               0.001142
                    132,                 1.7013,                0.70856,                 1.0533,                0.84056,                0.68594,                0.76855,                0.39092,                 1.6199,                0.76387,                0.99851,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.6438,                 0.7003,                   1.06,                0.82985,                0.66248,                0.74438,                0.35357,                  1.767,                0.79904,                 1.0326,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.5885,                0.68448,                 1.0564,                0.75114,                0.68613,                0.74043,                0.36938,                 1.6807,                0.80188,                 1.0144,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.6655,                0.70456,                 1.0583,                0.76165,                0.68291,                0.73313,                0.33818,                 1.8226,                 0.8278,                  1.041,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.6406,                 0.6917,                 1.0376,                0.78049,                0.68784,                0.74736,                0.32592,                 1.9026,                0.82524,                 1.0616,               0.001109,               0.001109,               0.001109
                    137,                 1.6217,                0.70179,                 1.0558,                0.77467,                0.69771,                0.75711,                0.36254,                 1.7259,                0.81055,                 1.0188,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.6656,                0.69909,                 1.0406,                0.76927,                0.70672,                0.74863,                0.36061,                 1.7056,                0.79511,                 1.0109,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.5864,                0.69218,                 1.0466,                0.78225,                0.70586,                0.75158,                0.35227,                 1.7693,                 0.7883,                 1.0307,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.6013,                0.69081,                 1.0561,                0.79512,                0.69536,                0.75745,                0.36044,                 1.7453,                0.76473,                 1.0273,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.6158,                0.68639,                 1.0343,                0.83781,                 0.6898,                0.77093,                0.37266,                 1.6918,                0.74719,                 1.0167,               0.001076,               0.001076,               0.001076
                    142,                 1.6732,                0.71311,                 1.0586,                0.82943,                0.69074,                0.76223,                0.34197,                 1.8613,                0.76754,                 1.0573,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.6697,                0.70914,                 1.0556,                0.83214,                0.69899,                0.76892,                0.35801,                 1.7869,                0.75347,                 1.0296,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.6047,                0.69366,                 1.0561,                0.83318,                0.68111,                0.75642,                0.34152,                 1.7975,                0.78014,                 1.0256,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.5739,                0.68437,                 1.0384,                0.82173,                0.68816,                 0.7705,                0.36629,                 1.7227,                 0.7742,                  1.017,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.5874,                0.67905,                 1.0392,                0.82234,                0.67188,                0.74286,                0.32905,                  1.804,                0.77467,                 1.0402,               0.001043,               0.001043,               0.001043
                    147,                   1.61,                 0.6871,                 1.0542,                  0.831,                0.66356,                0.74228,                0.33658,                  1.776,                0.76729,                 1.0274,              0.0010364,              0.0010364,              0.0010364
