                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.5961,                0.67762,                 1.0544,                0.79032,                0.68825,                0.75803,                0.36398,                 1.7469,                0.77032,                 1.0384,                0.00538,                0.00538,                0.00538
                    142,                  1.629,                0.70215,                 1.0691,                0.81005,                0.69575,                0.76869,                0.38034,                 1.6806,                0.76719,                 1.0239,               0.005347,               0.005347,               0.005347
                    143,                 1.6476,                 0.6982,                 1.0767,                0.82659,                0.69897,                0.76926,                0.37458,                 1.7155,                0.76726,                  1.032,               0.005314,               0.005314,               0.005314
                    144,                 1.5824,                0.68543,                 1.0836,                0.84021,                 0.6957,                0.77273,                0.38011,                 1.7139,                0.74031,                  1.035,               0.005281,               0.005281,               0.005281
                    145,                 1.5596,                0.67806,                 1.0622,                0.83399,                0.68698,                0.76848,                0.37185,                 1.7299,                0.74645,                 1.0418,               0.005248,               0.005248,               0.005248
                    146,                 1.5773,                0.67328,                   1.06,                0.84221,                0.68682,                0.77454,                0.37603,                 1.7059,                0.73525,                 1.0347,               0.005215,               0.005215,               0.005215
                    147,                 1.6141,                0.69157,                 1.0857,                0.84656,                0.69333,                0.77782,                0.38409,                 1.6798,                0.73645,                 1.0283,               0.005182,               0.005182,               0.005182
                    148,                 1.6103,                0.68172,                 1.0623,                0.84304,                0.69376,                0.77112,                0.36943,                 1.7443,                0.74987,                 1.0457,               0.005149,               0.005149,               0.005149
                    149,                 1.5672,                0.66889,                 1.0593,                0.83589,                0.69705,                0.76644,                0.35692,                 1.7726,                0.76384,                 1.0498,               0.005116,               0.005116,               0.005116
                    150,                 1.6242,                0.67249,                 1.0625,                0.82954,                0.69521,                0.75851,                0.34131,                 1.8047,                0.75676,                 1.0565,               0.005083,               0.005083,               0.005083
